DD009410	D019588;D009127;D018908;D012021;D012640;D003371;D006935;D015430;D012892;D018496;D002524;D006948;D018476;D009207;D014202;D004401;D006212;D006317;D014012;D000857;D006930;D010292;D006423;D015354;D011304;D013494;D003655;D000381;D018888;D020240
DD000437	D019588;D007035;D018908;D011782;D012021;D012640;D000855;D001049;D003371;D006469;D006985;D015430;D002100;D012892;D001247;D002303;D006942;D002524;D020234;D002819;D006948;D009207;D014202;D007805;D004401;D003693;D003128;D008607;D001308;D006212;D009120;D009128;D009123;D013746;D006261;D010148;D006429;D014826;D011602;D004244;D014012;D000857;D006930;D006941;D006987;D010292;D003117;D006423;D001750;D014717;D006472;D000006;D014098;D003248;D004415;D002032;D006396;D000419;D005262;D005483;D009041;D012607;D045262;D006316;D000550;D009846;D020915;D000381;D000648
DD011832	D019588;D018908;D011782;D012021;D012640;D000855;D006469;D006314;D001264;D009207;D003128;D008607;D009128;D009222;D006261;D010148;D005158;D006429;D012133;D014826;D011602;D004244;D006317;D014012;D000857;D006987;D010292;D003117;D004172;D015354;D001750;D014717;D003085;D003248;D014103;D003639;D007383;D014313;D012607;D019591;D018437;D005207;D020385
DD011833	D019588;D007035;D018908;D012640;D014202;D006930;D004415;D011141
DD009374	D007035;D000855;D015430;D002100;D006942;D011602;D006930
DD003092	D007035;D012640;D000855;D003968;D003371;D015430;D005335;D018589;D011602;D006930;D000006;D003085;D003248;D004415;D011695;D011697;D053591
DD008103	D007035;D003490;D018908;D011782;D012021;D012640;D000855;D003968;D003371;D006935;D006985;D015430;D002100;D001247;D009767;D013851;D002303;D005316;D006942;D002524;D001264;D002819;D014202;D003693;D003128;D008607;D006212;D009120;D009128;D009123;D013746;D006261;D006429;D020336;D011602;D004244;D000857;D010292;D003117;D006472;D000006;D004415;D006396;D041781;D011695;D016553;D011697;D011141;D000419;D005262;D007040;D006628;D006209;D009846;D011694;D016857
DD008171	D007035;D003490;D018908;D011782;D012640;D001049;D003371;D006469;D006935;D006985;D053120;D015430;D002100;D018496;D005335;D009767;D013851;D002303;D015160;D005316;D006942;D002819;D003693;D003128;D008607;D006212;D009123;D006261;D005158;D006429;D012133;D014826;D011602;D004244;D006312;D010292;D014717;D006685;D000006;D003248;D004415;D006396;D009058;D012913;D011695;D016553;D011697;D000419;D005311;D007383;D004418;D007040;D002639
DD001927	D007035;D003490;D009127;D018908;D011782;D012021;D012640;D000855;D003968;D001049;D003371;D006935;D006985;D015430;D002100;D006314;D012892;D018496;D001247;D005335;D015160;D005316;D006942;D002558;D002524;D020234;D001264;D002819;D006948;D009207;D017109;D014202;D008580;D002389;D020237;D007805;D001039;D004401;D003693;D003128;D008607;D001308;D006212;D009120;D009128;D009123;D009222;D013746;D017116;D006261;D012585;D005158;D006429;D017246;D014826;D011602;D004244;D006312;D014012;D000857;D006930;D006987;D010292;D019575;D003117;D004172;D006423;D015354;D001750;D014717;D006685;D003248;D006606;D006396;D012913;D011695;D016553;D011697;D011141;D000419;D006456;D014103;D001041;D013342;D005862;D007088;D001405;D006313;D003639;D005311;D002559;D006732;D012607;D020250;D007040;D006628;D000550;D009155;D018458;D002639;D013494;D005207;D020235;D016857;D003655;D019569;D000381;D000849;D018888;D020324;D000648;D020240
DD002547	D007035;D003490;D009127;D018908;D011782;D012021;D012640;D001049;D003371;D053120;D015430;D006314;D001247;D009767;D005316;D051346;D002524;D020234;D001264;D002819;D006948;D009207;D014202;D007805;D004401;D008607;D009128;D009123;D009222;D017116;D006261;D010148;D005158;D006429;D020336;D011602;D006312;D019575;D015354;D001750;D003248;D009058;D012913;D014103;D007088;D005311;D000550;D009155;D005683;D020235
DD006323	D007035;D003490;D009127;D011782;D012021;D012640;D001049;D003371;D006469;D006935;D006985;D053120;D015430;D018496;D009767;D002303;D001264;D002819;D009207;D002389;D003693;D003128;D008607;D006212;D009128;D009123;D006261;D006429;D014826;D011602;D004244;D010292;D019575;D054058;D003248;D006396;D004438;D011141;D005311;D019462;D000788;D007040;D009846;D009155;D018458;D016857;D003655
DD017202	D007035;D003490;D011782;D012640;D001049;D003371;D006935;D006985;D015430;D018496;D009767;D002303;D005130;D018476;D006261;D019547;D010148;D006429;D017246;D011602;D004244;D000006;D054058;D014098;D004415;D006606;D012913;D011695;D011697;D000419;D005311;D004489;D005483;D007383;D019462;D000788;D053591;D003655
DD003324	D007035;D003490;D018908;D011782;D012021;D012640;D001049;D003371;D006469;D006935;D006985;D015430;D012892;D018496;D001247;D009767;D013851;D002303;D019584;D006942;D006948;D003693;D003128;D008607;D009128;D013746;D006261;D019547;D006429;D017246;D011602;D004244;D010292;D014717;D000006;D003085;D054058;D004415;D006356;D012913;D011695;D016553;D011697;D000419;D003639;D004489;D005222;D005483;D007383;D019462;D000788;D004418;D016857;D003655
DD014652	D007035;D003490;D018908;D011782;D012021;D012640;D003371;D006469;D006985;D015430;D005335;D009767;D013851;D002303;D015160;D002524;D002819;D008607;D009120;D009128;D017116;D006261;D012585;D010148;D005158;D006429;D011602;D004244;D014012;D006930;D010292;D004172;D006423;D001750;D014717;D000006;D006396;D004438;D014008;D011695;D016553;D011697;D000419;D003639;D020069;D005483;D007383;D012607;D010167;D019569
